3SNK, 0.110361, 0.000184, 0.095747, 0.014430
4EF2, 1.114001, 0.022416, 0.797508, 0.294077
4GBS, 0.207447, 0.000022, 0.136246, 0.071179
4HF7, 0.683643, 0.009488, 0.529486, 0.144669
4L0N, 0.216910, 0.001885, 0.143448, 0.071577
3SOC, 0.126499, 0.000020, 0.122805, 0.003674
3ZKJ, 0.431094, 0.004394, 0.330915, 0.095785
3L5K, 0.000001, 0.000000, 0.000001, 0.000000
4QSP, 0.003576, 0.000000, 0.003576, 0.000000
4QU6, 0.001356, 0.000056, 0.001012, 0.000288
3UW9, 0.010232, 0.000115, 0.008451, 0.001667
4CUR, 0.009444, 0.000007, 0.007998, 0.001438
3KHU, 0.081535, 0.000091, 0.075360, 0.006085
5APA, 0.016015, 0.000028, 0.015159, 0.000828
4USD, 1.389329, 0.032388, 1.054289, 0.302653
3H9F, 0.000360, 0.000000, 0.000267, 0.000094
5CLT, 0.099298, 0.000001, 0.079293, 0.020004
4CRH, 0.000000, 0.000000, 0.000000, 0.000000
3Q4T, 0.247539, 0.000099, 0.172469, 0.074970
2XWC, 0.011736, 0.000010, 0.011418, 0.000308
5A6R, 0.009921, 0.000005, 0.009796, 0.000120
3HMI, 0.004514, 0.000002, 0.004451, 0.000061
5CLW, 0.022681, 0.000001, 0.021099, 0.001581
5A14, 0.000005, 0.000001, 0.000004, 0.000000
3KVW, 0.023284, 0.000003, 0.023063, 0.000217
3PFE, 0.028721, 0.000001, 0.020350, 0.008370
4EPZ, 0.000013, 0.000000, 0.000007, 0.000005
4FLP, 0.030116, 0.000802, 0.024677, 0.004637
4A27, 0.003865, 0.000003, 0.003323, 0.000539
2XYN, 0.010269, 0.000101, 0.009060, 0.001108
3EMW, 0.112070, 0.000526, 0.083861, 0.027683
4LOP, 0.010281, 0.000000, 0.010170, 0.000110
4AYW, 0.314760, 0.003627, 0.200645, 0.110489
4QU7, 0.000077, 0.000000, 0.000060, 0.000017
3Q2E, 0.017051, 0.000000, 0.017041, 0.000010
2Y7J, 0.019621, 0.000127, 0.015771, 0.003723
3LM5, 0.099464, 0.000097, 0.084923, 0.014444
3PRY, 0.082845, 0.000020, 0.060663, 0.022163
4FR4, 0.208698, 0.007947, 0.153619, 0.047132
3MQM, 0.000818, 0.000000, 0.000818, 0.000000
3SC3, 0.006440, 0.000000, 0.004969, 0.001471
4WSQ, 0.091899, 0.000006, 0.058610, 0.033283
4AP8, 0.000185, 0.000001, 0.000129, 0.000055
4HWM, 0.000784, 0.000000, 0.000673, 0.000111
3ZWF, 0.040665, 0.000250, 0.029103, 0.011312
4BC6, 0.004929, 0.000002, 0.004574, 0.000353
5AJQ, 0.003666, 0.000023, 0.003342, 0.000302
3RMU, 0.064254, 0.000519, 0.046864, 0.016871
2WZ9, 0.000519, 0.000008, 0.000362, 0.000149
4R1M, 0.011263, 0.000126, 0.008609, 0.002528
4LOQ, 0.384200, 0.000478, 0.273868, 0.109854
4C8D, 0.000015, 0.000000, 0.000014, 0.000001
3SOG, 0.057344, 0.000003, 0.053339, 0.004002
3U2U, 0.416325, 0.002890, 0.321503, 0.091932
4V0P, 0.263700, 0.011066, 0.185296, 0.067338
3QNF, 0.319396, 0.000339, 0.222787, 0.096269
3U1W, 0.006320, 0.000042, 0.005623, 0.000655
4CGZ, 0.005769, 0.000004, 0.005572, 0.000193
2YAN, 0.003036, 0.000005, 0.002730, 0.000301
4HPE, 0.001098, 0.000025, 0.000838, 0.000235
4UYB, 0.049872, 0.000656, 0.034041, 0.015176
3Q4U, 0.013027, 0.000294, 0.009713, 0.003020
3IU6, 0.001053, 0.000005, 0.000921, 0.000127
3S95, 0.018527, 0.000534, 0.015037, 0.002956
4AVX, 0.021743, 0.000386, 0.017509, 0.003848
4Q0N, 0.596509, 0.008449, 0.416914, 0.171145
3UV5, 0.011681, 0.000019, 0.010522, 0.001140
3UVJ, 0.001123, 0.000000, 0.000989, 0.000134
3H9E, 0.002358, 0.000044, 0.001794, 0.000520
4FMR, 0.000024, 0.000001, 0.000017, 0.000006
4B87, 0.012428, 0.000000, 0.009015, 0.003413
4L3R, 0.210618, 0.000359, 0.174661, 0.035597
